log.prior	log.likelihood	log.likelihood.test.set
-1.512396830620350556e+04 -1.614275707794029950e+04 -2.599700106612845502e+03
-1.510390253373695668e+04 -1.614969555017815946e+04 -2.605151334776901876e+03
-1.510590260052115991e+04 -1.615276676860020962e+04 -2.606907304059345734e+03
-1.509451923269959480e+04 -1.614617063559787857e+04 -2.612013714017028178e+03
-1.511407402074234051e+04 -1.615193551429684521e+04 -2.611320365188697906e+03
-1.512889137846654739e+04 -1.613933709905280921e+04 -2.602739105550493150e+03
-1.513405611021110417e+04 -1.614480878383198979e+04 -2.601998109236145865e+03
-1.510027106232475126e+04 -1.614920521611354343e+04 -2.614813608489884700e+03
-1.511165239915009079e+04 -1.615253546521396129e+04 -2.620033038082420262e+03
-1.510205896028772077e+04 -1.616272857951718470e+04 -2.620153600715268567e+03
-1.511524632452099286e+04 -1.617036406986499060e+04 -2.619134348435180982e+03
-1.516587689822582615e+04 -1.614651412719390828e+04 -2.619014737069916464e+03
-1.514837755309363638e+04 -1.615661546770980203e+04 -2.618158130961790903e+03
-1.509805325110468948e+04 -1.615919425242637590e+04 -2.619889991679244304e+03
-1.512153680064711625e+04 -1.616028202814629003e+04 -2.619325134334240829e+03
-1.511677616236968061e+04 -1.615907575535903743e+04 -2.619036257108794416e+03
-1.513020520633041633e+04 -1.615948436768865940e+04 -2.622879564800335629e+03
-1.511948489526567209e+04 -1.615348509074588583e+04 -2.615859293199565400e+03
-1.510415323849456217e+04 -1.615821353546218779e+04 -2.616997644285853312e+03
-1.512070421317878208e+04 -1.615735444920208465e+04 -2.616481033517599371e+03
-1.514092935386921272e+04 -1.613443613038141120e+04 -2.616226409314923785e+03
-1.513322727454832057e+04 -1.613411247541266675e+04 -2.612557506847847435e+03
-1.513897945966908082e+04 -1.615100109089731450e+04 -2.616290092956601711e+03
-1.513697529769573339e+04 -1.615625323449956159e+04 -2.605268105195773842e+03
-1.513154785504332176e+04 -1.614785771493473294e+04 -2.604143364568194556e+03
-1.514510385023519302e+04 -1.614804836088199954e+04 -2.604518479652348105e+03
