time.decay.1	time.decay.2	time.decay.3	time.decay.4	time.decay.5	time.decay.6	time.decay.7	time.decay.8	time.decay.9	time.decay.10	
1.140359105883391635e+02 9.486960770547626964e+01 9.212957973226455977e+01 1.021793567545203842e+02 8.713681936390807437e+01 1.126911715404744569e+02 9.707774665122498448e+01 1.056190109552763374e+02 9.383960583062994942e+01 9.497968713823715348e+01
9.841832072184665492e+01 1.004577320672726160e+02 9.600249928020964774e+01 1.010986110349797684e+02 1.115442507408904476e+02 1.137497373026442489e+02 1.124779152700999276e+02 9.876913726308374919e+01 9.875587721005089747e+01 1.117417603552927687e+02
1.107991019627471161e+02 1.003762592958706534e+02 1.000700902374188672e+02 9.618280187753242672e+01 1.114629861273797218e+02 9.983643526535152546e+01 1.119834080285685900e+02 1.000811257736013999e+02 1.003802091266085910e+02 8.815218016923655853e+01
1.070947860566292604e+02 8.716925516724644751e+01 1.055912460847637249e+02 1.010019871472186139e+02 9.152433554708326824e+01 1.137235946134662186e+02 1.086416807984731889e+02 9.836780813512051225e+01 1.066486036110861164e+02 8.895951820566412493e+01
1.046263214557787080e+02 1.051486034855817024e+02 1.065651829037452956e+02 9.430378131263172747e+01 8.288558442931611125e+01 1.202022962376239548e+02 9.108048540265278348e+01 1.000811313422352100e+02 9.145755035497025176e+01 9.338408378464410475e+01
8.369153308118664825e+01 1.173899103275362705e+02 8.336562789990776423e+01 1.093540417870730721e+02 9.896996448004097147e+01 8.849598090276604978e+01 1.206492592419571110e+02 9.192358514202344111e+01 9.384488296638967597e+01 1.036868201730531922e+02
8.964208812025165685e+01 1.162139008942102123e+02 1.033328619262494357e+02 1.040780645229501431e+02 1.041494092368239706e+02 8.951626217562107968e+01 7.722661790637357626e+01 9.900891078716499294e+01 1.085277273571875156e+02 1.079340068053715100e+02
9.076957541654265071e+01 1.081912884556782473e+02 1.017869996597384556e+02 1.089918834567578472e+02 9.343020924863870391e+01 8.589138840261882990e+01 9.686470189040102241e+01 1.090833138898599941e+02 1.055857370294640987e+02 1.006517771846369271e+02
9.131592831018174650e+01 9.532391506194191777e+01 1.082551376539344545e+02 1.084144951316785779e+02 9.157273052333050600e+01 9.217562883435840604e+01 1.039553207083963287e+02 1.060295544942210171e+02 9.769931296283868960e+01 1.010378032647102913e+02
9.537759475074125248e+01 1.057092506670634293e+02 1.044774776232574425e+02 1.096376076129012915e+02 8.735916913396839334e+01 9.416072359062886221e+01 1.021585922604721759e+02 1.051307075357950964e+02 9.933910705428986887e+01 1.021457622747952314e+02
