word.concentration.1	word.concentration.2	word.concentration.3	word.concentration.4	word.concentration.5	word.concentration.6	word.concentration.7	word.concentration.8	word.concentration.9	word.concentration.10	
9.981667814053377441e+00 9.978979539964702994e+00 9.556474943798958677e+00 9.454160550322052714e+00 9.595106595906990776e+00 9.367441069029634804e+00 9.913392611365523521e+00 9.651483622856511957e+00 9.457130058328067079e+00 8.592933504487456631e+00
9.990364125314339816e+00 9.992510176249066234e+00 8.996391459118763478e+00 9.778761208416383965e+00 9.578221318994518896e+00 9.437081969090112210e+00 9.895374973222413217e+00 9.967071075985749928e+00 9.788170684606731342e+00 7.993306779818874830e+00
9.979823980840574649e+00 9.979702119513822467e+00 8.882794723290214023e+00 9.784001229355197893e+00 9.526890998623287032e+00 9.347600576362006919e+00 9.921893545887177979e+00 9.900743715680606627e+00 9.705803594513719545e+00 8.993657943820739575e+00
9.994643810608588197e+00 9.981897419328896959e+00 8.648846333389299090e+00 9.983308512112017752e+00 9.972204286210006430e+00 9.881033742109453399e+00 9.954495111036537836e+00 9.921776681465740211e+00 8.413083399622694358e+00 9.187747026878007262e+00
9.982803339253958796e+00 9.988185261980454754e+00 9.210264505280589376e+00 9.931409293338543165e+00 9.837291770947144798e+00 9.675721775817390125e+00 9.990185882539172724e+00 9.565069114249951099e+00 8.035893822140348419e+00 8.935537164338539284e+00
9.994110972521713876e+00 9.995842044024952244e+00 9.634096568450873477e+00 9.986556179765452512e+00 9.814459628913779099e+00 8.487360248933251583e+00 9.985689570746686172e+00 9.814501023465208362e+00 8.484499752594089728e+00 7.638811977321605440e+00
9.995944635978048609e+00 9.978349719492840109e+00 9.586917005717069173e+00 9.950647073225674433e+00 9.909259842887394143e+00 9.666983143488172558e+00 9.955951149654312715e+00 9.907722028780469259e+00 8.252525359269942129e+00 8.976905079232716744e+00
9.972717379572307195e+00 9.926465939980793962e+00 9.552046837568209270e+00 9.821106543318885329e+00 9.845782571279860562e+00 9.800871022115352105e+00 9.949996064001485507e+00 9.946637883611508357e+00 9.529741507173252302e+00 9.376870214816896976e+00
9.950009733091652819e+00 9.864508818104868126e+00 9.963887810975109005e+00 9.485303181777835491e+00 9.812179018158877497e+00 9.448375075481694196e+00 9.975750090687080629e+00 9.976599942682824462e+00 8.960167761471579340e+00 9.531080659230909191e+00
9.955096253797481864e+00 9.798673627862831026e+00 9.538230421229524580e+00 9.483425802808369554e+00 9.683547370095318740e+00 9.738991744816996032e+00 9.966302933539076037e+00 9.977869720208925486e+00 8.989150708736579176e+00 9.896574193209209724e+00
9.978019495956820251e+00 9.828948243933433915e+00 9.647577470693507351e+00 9.575467367147764364e+00 8.926678273179732059e+00 9.716400333520073929e+00 9.948514902329099741e+00 9.987698763304026173e+00 7.434211768043844870e+00 9.000918503478846588e+00
9.958964253255624399e+00 9.796025332752805070e+00 9.835759910668723904e+00 9.570936214832947542e+00 9.561351143694176713e+00 9.479802583910524660e+00 9.972646268597980423e+00 9.994784675219587911e+00 9.849488897029088363e+00 8.094013151765690139e+00
9.954557396494504218e+00 9.997397028692496690e+00 9.739187296673451399e+00 9.467996423995847621e+00 9.963718540750964081e+00 8.657354682724500705e+00 9.948783699040705031e+00 9.868263310305176006e+00 7.966940163881417014e+00 7.278909129014866863e+00
9.960123839289327208e+00 9.996719085167606877e+00 9.535207811745857853e+00 9.705614439007119287e+00 9.489958975614415593e+00 9.227688428737341297e+00 9.980487352745488039e+00 9.996442141843118634e+00 8.348132746362590950e+00 7.442367444670599852e+00
9.956101986590976338e+00 9.992005162836480991e+00 9.232587906948378276e+00 9.936250980443967151e+00 9.932905358789003714e+00 9.776192695007248190e+00 9.980173118098409901e+00 9.867789830473874702e+00 9.935380000242522769e+00 8.466928573026496707e+00
9.983300602151564007e+00 9.977024184232455184e+00 9.262476164054120886e+00 9.807057199071389064e+00 9.809622434845607586e+00 9.415057954569906684e+00 9.981057197735962561e+00 9.635923786560404380e+00 9.081696299958126772e+00 9.884250597009625494e+00
9.925148720714878081e+00 9.991784497762681738e+00 8.148471184319001637e+00 9.646021320212316397e+00 9.787699715258302291e+00 9.727106161370864257e+00 9.991628366425231889e+00 9.925702107346399572e+00 6.300811928868607303e+00 9.978764659621294442e+00
9.899441148807095914e+00 9.979919180321973116e+00 9.805662220588516220e+00 9.930155548358387207e+00 9.595681383716685886e+00 9.957058037346577350e+00 9.972315840666363229e+00 9.714415984771562762e+00 6.569083583420850303e+00 9.890222754061854360e+00
9.931816945870345137e+00 9.976341586863963329e+00 9.861255677759169558e+00 9.875533201177388420e+00 9.563027043051549825e+00 9.941473518775955753e+00 9.964255154397543279e+00 9.379626059190863785e+00 9.540401968185662440e+00 9.889764596947486552e+00
9.954987417460351651e+00 9.926841990102586166e+00 9.996323391382306411e+00 9.711292795370237485e+00 9.562596058827468326e+00 9.619920953251069662e+00 9.945044571380076803e+00 9.762476967236183967e+00 9.280672875533024779e+00 9.655526999295025448e+00
9.976118635246443489e+00 9.976969796533843748e+00 9.983672765583410325e+00 9.985130311143693760e+00 9.973802584679837935e+00 9.993151097455029941e+00 9.981327744918610634e+00 9.803773926767460623e+00 9.888531931527905883e+00 8.195255744892524064e+00
9.949358869460116495e+00 9.973700291527746842e+00 9.984107716464997395e+00 9.941388914008255639e+00 9.388955763197072812e+00 9.464657226620555974e+00 9.983047322794384115e+00 9.641006717449476682e+00 9.850033458677588172e+00 9.967599039445394382e+00
9.958704206463975694e+00 9.971133792138010321e+00 9.895126419937545492e+00 9.986319928416893532e+00 9.796896322802474799e+00 9.955744806823146220e+00 9.989184408877441967e+00 9.616792594606916822e+00 9.510669279569363255e+00 8.519938950536880995e+00
9.954791238055888059e+00 9.977763261095315528e+00 9.251427763421805395e+00 9.833714568504298370e+00 9.675542508019081112e+00 9.454099527065787711e+00 9.937790674566834070e+00 9.437234299973498608e+00 7.417244368875318017e+00 8.811519144156021000e+00
9.967236681971074930e+00 9.983606924240715941e+00 9.305259015270872069e+00 9.945622359397429335e+00 9.862512993763019153e+00 8.821375067130063030e+00 9.933473137795459706e+00 9.905494595435191840e+00 8.950715577673772572e+00 9.033493844463549749e+00
9.999959000511507767e+00 9.997842335162497207e+00 9.975466976356401005e+00 9.939428611726498275e+00 9.786693089606323781e+00 8.779549908118820412e+00 9.933514507576134633e+00 9.984122248189880366e+00 8.683939942013626734e+00 9.890725779150432828e+00
9.985311984094282778e+00 9.991488475602269048e+00 9.472592198691133447e+00 9.928374226237378863e+00 9.873717900042910500e+00 8.669516905278126018e+00 9.989842752958224992e+00 9.852969082375381049e+00 9.074851706650099104e+00 9.707910600002024992e+00
9.971570816292459227e+00 9.994978015833934748e+00 9.507540832770512651e+00 9.997827436377647814e+00 9.593387954244608551e+00 8.354203860479088917e+00 9.987377957933334827e+00 9.877919288709914980e+00 9.094632253587665360e+00 9.785857316898203706e+00
9.952893906713924821e+00 9.959658746038909882e+00 9.382459383031283906e+00 9.990445226448072091e+00 9.432645252278341275e+00 8.917557580928376026e+00 9.932821168498515263e+00 9.722975554231998885e+00 8.561854418730190375e+00 8.972896369736997002e+00
9.932520971053254044e+00 9.967720343632741731e+00 9.840492737700532899e+00 9.991434519239955847e+00 9.347451410339173705e+00 9.864646616264167278e+00 9.938060274506437253e+00 9.810931985810601219e+00 9.508614558982641185e+00 8.965714265436108832e+00
9.967698877631992360e+00 9.917264894983704338e+00 9.954048214664791061e+00 9.893030023587588317e+00 9.576112816622480040e+00 9.920598036480633652e+00 9.969207089725966142e+00 9.801364784134435126e+00 9.039128517962927489e+00 9.921643802121987932e+00
9.985011454997714253e+00 9.971182607408090703e+00 9.945767588901620826e+00 9.756664319439556365e+00 9.583226072177991384e+00 9.594244640170765948e+00 9.963678701499311785e+00 9.860759884109578266e+00 9.792716706616152678e+00 8.812036281843742103e+00
9.970142537925299919e+00 9.992006345614937501e+00 9.933892769434942593e+00 9.998483818160167402e+00 9.505703033819695946e+00 9.659242808196866648e+00 9.957077509989114006e+00 9.820337305435222319e+00 6.746568265502411066e+00 9.997243895144141135e+00
