sender	time
3 0.00
2 0.20
6 2.35
2 3.05
2 3.40
6 3.89
2 4.34
3 4.73
2 5.19
3 5.67
2 6.05
3 6.38
2 6.42
3 6.86
2 7.70
3 8.66
2 9.20
6 10.82
2 11.27
9 12.15
2 12.79
9 13.48
2 13.74
9 13.81
2 14.03
5 14.15
2 15.20
9 18.03
2 18.43
9 18.53
2 18.59
3 19.41
2 20.13
3 20.19
2 20.58
9 21.36
2 21.55
5 21.69
2 22.36
3 22.76
2 22.87
6 23.57
2 23.84
6 24.28
2 24.64
6 24.87
2 24.99
5 25.39
2 25.71
3 26.89
7 27.68
3 29.39
7 30.22
4 31.76
7 31.78
4 31.82
7 32.45
4 32.56
7 33.18
10 33.57
7 33.60
10 34.06
7 34.45
10 39.39
7 39.60
10 44.02
7 44.15
3 45.31
1 45.46
4 45.98
1 48.22
4 48.55
1 49.05
8 49.49
1 50.65
8 50.69
1 50.74
4 51.05
1 51.91
5 52.45
1 52.48
5 52.67
1 54.87
5 55.19
1 55.35
8 55.75
1 56.95
8 57.41
1 58.83
4 59.50
1 59.95
4 60.07
1 60.22
4 60.43
1 60.66
4 60.93
1 61.46
5 61.89
1 63.22
4 65.93
1 67.27
3 68.46
1 68.78
5 70.14
1 70.41
4 71.37
1 71.46
6 71.79
1 71.91
6 71.98
1 72.02
6 72.74
1 72.79
8 73.01
1 73.88
8 74.53
1 75.36
8 75.51
1 75.75
5 76.10
1 76.71
5 77.10
1 77.50
10 78.55
1 78.73
6 82.21
1 82.33
6 83.57
1 83.90
5 87.51
1 87.82
4 88.90
1 89.18
4 89.41
1 89.67
3 91.68
2 91.89
3 93.52
2 93.94
3 95.32
2 96.10
3 99.93
