log.prior	log.likelihood	log.likelihood.test.set
-1.805398412910694606e+04 -1.010271177985799295e+04 -1.205680242987405109e+03
-1.803458518063821975e+04 -1.011386058242436229e+04 -1.200176917150966801e+03
-1.807182064931088462e+04 -1.011446698398656554e+04 -1.199756203033593465e+03
-1.807766118142673440e+04 -1.010716139110431868e+04 -1.199716431504177763e+03
-1.808065337372030990e+04 -1.010165818764512551e+04 -1.202628280949574673e+03
-1.805944941557963830e+04 -1.009370655206230731e+04 -1.207452957971141132e+03
-1.802006912248521257e+04 -1.009516271782138756e+04 -1.207137040117940160e+03
-1.803582096006752181e+04 -1.007933256677800273e+04 -1.200528622213857489e+03
-1.803270847927889190e+04 -1.009476949087201137e+04 -1.200316333320648027e+03
-1.801563484602301469e+04 -1.009792065553959037e+04 -1.201296129132394981e+03
-1.798867683779062645e+04 -1.009803919889236931e+04 -1.195489701080315626e+03
-1.799256304554324379e+04 -1.009249880838695753e+04 -1.199058009039275021e+03
-1.796593707324784191e+04 -1.009753388904990243e+04 -1.211388801010421503e+03
-1.795725574048824637e+04 -1.011179316978320276e+04 -1.204532870171497507e+03
-1.795208659204647120e+04 -1.009822579056377435e+04 -1.206814901553087566e+03
-1.795753973375790520e+04 -1.008948744572696160e+04 -1.197730345215233683e+03
-1.797603612802900534e+04 -1.009445244909885150e+04 -1.207922619131049942e+03
-1.799809953260425027e+04 -1.010368125389602574e+04 -1.204246833020510167e+03
-1.800214870011122912e+04 -1.010953338135561353e+04 -1.208336049393772100e+03
-1.803387005102556577e+04 -1.009947469634204572e+04 -1.203495440600605889e+03
-1.805596247953803322e+04 -1.011294593962261933e+04 -1.207437468152872498e+03
-1.809171074664672051e+04 -1.008766915855801199e+04 -1.203114605550947090e+03
-1.807042725654634341e+04 -1.009511825445919749e+04 -1.207979288418755004e+03
-1.804400951069736038e+04 -1.008449888938927688e+04 -1.194637012752505598e+03
-1.803551728243188700e+04 -1.009670988632686567e+04 -1.202460050178449819e+03
-1.799850915715720839e+04 -1.010656905872278003e+04 -1.201393301681332105e+03
-1.798189491273158637e+04 -1.010336464675370189e+04 -1.212237359067483794e+03
-1.798296861428330521e+04 -1.011286077788212606e+04 -1.203958544910362434e+03
-1.802039841874011108e+04 -1.010546663673527837e+04 -1.208336076475772643e+03
-1.801243432740800199e+04 -1.011517345542006296e+04 -1.205473990199413947e+03
-1.800562086964970149e+04 -1.011321246281681670e+04 -1.205429706272916974e+03
-1.802958571609556384e+04 -1.009891321945394884e+04 -1.208097325713822556e+03
-1.804128834251554144e+04 -1.010299505108323319e+04 -1.203235686905848979e+03
-1.804398397999837471e+04 -1.009776638665097198e+04 -1.207395722221713186e+03
-1.803677288780631352e+04 -1.008868603069862365e+04 -1.203309464335257417e+03
-1.801706422935934461e+04 -1.009620046779434597e+04 -1.201397282190509486e+03
-1.802670426236736603e+04 -1.009638743541275653e+04 -1.203211888287404236e+03
-1.803272639766435168e+04 -1.009712125704685786e+04 -1.202676458031699894e+03
-1.802893895625323057e+04 -1.010390484918893526e+04 -1.198951444765916222e+03
-1.802000126831617672e+04 -1.009551548846947662e+04 -1.194139120131037998e+03
-1.800420692147861701e+04 -1.010035469651540552e+04 -1.213530703747165262e+03
-1.801878009710232436e+04 -1.009773372847841893e+04 -1.211992209374580852e+03
-1.799666965807406086e+04 -1.010260912947842553e+04 -1.214276580854845179e+03
-1.799870476638997206e+04 -1.012231109511463728e+04 -1.215260514036246150e+03
-1.799481051063884297e+04 -1.010945207693218435e+04 -1.210172191368561016e+03
-1.798648505748287062e+04 -1.011170623333283947e+04 -1.211501590432666035e+03
-1.798009310998454748e+04 -1.010942789492918200e+04 -1.218392998342491865e+03
-1.800579294603677408e+04 -1.010288696540508136e+04 -1.209818743672437904e+03
-1.799254594175234161e+04 -1.010511829325495273e+04 -1.208059114555102497e+03
-1.800314214431779692e+04 -1.010403659886678724e+04 -1.213807246761787155e+03
-1.802166583014130083e+04 -1.010246964106659289e+04 -1.210132688607095133e+03
-1.801499932017233732e+04 -1.011069153309997637e+04 -1.210559231352970528e+03
-1.800200505105528282e+04 -1.010700412765250076e+04 -1.204037183327826369e+03
-1.802572033758811449e+04 -1.009497079746762029e+04 -1.201272197954137027e+03
-1.802949961299186543e+04 -1.009046197518845838e+04 -1.199408788431942867e+03
-1.804866807969201182e+04 -1.010109638032340445e+04 -1.205696949696040974e+03
-1.801460442026153032e+04 -1.011356504230149767e+04 -1.201909605728304996e+03
-1.800160959221470330e+04 -1.011269305553257800e+04 -1.202114821203825613e+03
-1.799481920917585012e+04 -1.010191113753566060e+04 -1.214895279728102196e+03
-1.802552274685865268e+04 -1.009902958893671166e+04 -1.208608784788293633e+03
-1.802516506414427204e+04 -1.010241634609443281e+04 -1.198097989844257427e+03
-1.803225322958462129e+04 -1.010108914613371235e+04 -1.196142756547950739e+03
-1.802069257797751197e+04 -1.010924733693413145e+04 -1.203675314799652824e+03
-1.805184354192249157e+04 -1.009699083176611384e+04 -1.204685627025330177e+03
-1.805068974934049402e+04 -1.010500123333584088e+04 -1.212266510058488620e+03
-1.805210261599970181e+04 -1.010378051998618503e+04 -1.216578176592706768e+03
-1.805915550074489875e+04 -1.009426721704613374e+04 -1.204404824407308297e+03
-1.805626616495492635e+04 -1.009044825969048179e+04 -1.200625454710469512e+03
-1.805258503119070156e+04 -1.009899942078626555e+04 -1.213405725081996479e+03
-1.805173139254686248e+04 -1.008842793884510138e+04 -1.198467501134229224e+03
-1.802662633168975299e+04 -1.010618967628560131e+04 -1.204191079612373869e+03
-1.803554916075941219e+04 -1.009080017558648979e+04 -1.199131302710004547e+03
-1.802527355452837583e+04 -1.010154568017020574e+04 -1.202995208471643309e+03
-1.805999445268446652e+04 -1.009471072598176033e+04 -1.199868744890389735e+03
-1.808353494109079111e+04 -1.008980005208524926e+04 -1.206957909383564584e+03
-1.809043912426442330e+04 -1.009380424371808658e+04 -1.224246184974145308e+03
-1.810193819194010939e+04 -1.009924218530371400e+04 -1.209136411483581014e+03
-1.809561725563163418e+04 -1.010433619529493808e+04 -1.214312976662711662e+03
-1.811252284897182471e+04 -1.010112958151318526e+04 -1.212502698167143535e+03
-1.810612388155363806e+04 -1.010807303960628815e+04 -1.207826659212909362e+03
-1.810529308677709196e+04 -1.010184465887003898e+04 -1.211899321708342541e+03
-1.809430396441429184e+04 -1.010326334028526253e+04 -1.213308395043071414e+03
-1.811826341563850292e+04 -1.009899495260572257e+04 -1.209712453451430520e+03
-1.813430470417611650e+04 -1.008851840815013202e+04 -1.212685606887796439e+03
-1.812175235066443929e+04 -1.009925224673028242e+04 -1.215550438779025171e+03
-1.811349125641799401e+04 -1.010065559886290794e+04 -1.214330616409175491e+03
-1.810453086965198600e+04 -1.009232887776430653e+04 -1.212941767399998298e+03
-1.810536629091269060e+04 -1.008757099364870737e+04 -1.214629358026611044e+03
-1.808953871590595736e+04 -1.008130583355628005e+04 -1.209288334135219884e+03
-1.810082390157138070e+04 -1.008984145224247186e+04 -1.211781637390262404e+03
-1.809192494916706346e+04 -1.009224777901887137e+04 -1.216384129023059359e+03
-1.809114172902455539e+04 -1.009862178280252010e+04 -1.215521561642689903e+03
-1.808463224315863772e+04 -1.009270941505337578e+04 -1.213517297710428920e+03
-1.809514356845019938e+04 -1.009310390428374922e+04 -1.211370626093465035e+03
-1.812662656253135719e+04 -1.009711595542111718e+04 -1.206300640812807160e+03
-1.811265343766459409e+04 -1.010316198419574903e+04 -1.215917839342993830e+03
-1.808132356805153904e+04 -1.010586286032466342e+04 -1.216658317314489523e+03
-1.808192122613940228e+04 -1.011203646127665888e+04 -1.218363801834067090e+03
-1.803671056715990562e+04 -1.011269462970035966e+04 -1.220505309465303526e+03
-1.805560999153978264e+04 -1.011574745339085894e+04 -1.216540207755601841e+03
-1.804390268750167161e+04 -1.010436883409693655e+04 -1.220028750187618698e+03
-1.806467014643923540e+04 -1.010281322791350249e+04 -1.221628603897749599e+03
-1.806468714123656537e+04 -1.010491892082916820e+04 -1.208889775323202684e+03
-1.805360344571853420e+04 -1.010070470921538072e+04 -1.202996472595736577e+03
-1.806658002670759379e+04 -1.009729557629512419e+04 -1.216493978981039163e+03
-1.808921889061594629e+04 -1.009539324388708701e+04 -1.211974367608728699e+03
-1.806600903464286239e+04 -1.009757398144954095e+04 -1.214969650797729173e+03
-1.806721501467678172e+04 -1.011554538425512510e+04 -1.210535739370258852e+03
-1.804291025721413098e+04 -1.010422862625430571e+04 -1.202486885596237244e+03
-1.804918168134819280e+04 -1.010962282784583294e+04 -1.204467107015952934e+03
-1.805077631502456643e+04 -1.010191636800555352e+04 -1.205213942861314536e+03
-1.805771496480074711e+04 -1.010305564332109861e+04 -1.202156102371571706e+03
-1.804181143583079756e+04 -1.009474869331423724e+04 -1.209442399403996660e+03
-1.807145020667470089e+04 -1.009638713008870400e+04 -1.204748813807435909e+03
-1.804364856086428335e+04 -1.010450379635661739e+04 -1.204123261879892198e+03
-1.800195867169437042e+04 -1.010037666398287911e+04 -1.212402430194485987e+03
-1.800283025696448385e+04 -1.008989693737092966e+04 -1.204226002225961565e+03
-1.802115765111929795e+04 -1.009433553288603071e+04 -1.209271655472397470e+03
-1.800835290975650787e+04 -1.009240082315264226e+04 -1.208435663963577099e+03
-1.798455466931403498e+04 -1.010042840109883036e+04 -1.208345389472493480e+03
-1.799601034226951379e+04 -1.010037669045987786e+04 -1.204615860452176094e+03
-1.802769412173072487e+04 -1.008846318713812434e+04 -1.203156682749639458e+03
-1.803634680755359659e+04 -1.008752709885885270e+04 -1.202082158240554236e+03
-1.804123187774020334e+04 -1.009263621484356190e+04 -1.210560737021135992e+03
-1.803044367335291099e+04 -1.010622569049942467e+04 -1.213216455672691154e+03
-1.804676642836440442e+04 -1.009811567043901232e+04 -1.220163430830668403e+03
-1.810592973703896132e+04 -1.008587972254310444e+04 -1.208742678988981424e+03
-1.808267922933955924e+04 -1.008969705696932579e+04 -1.214058562442143739e+03
-1.808446535946155200e+04 -1.008870473473636775e+04 -1.211837864298209752e+03
-1.808429587849899326e+04 -1.010318850337601907e+04 -1.207675956258069618e+03
-1.806310242199646382e+04 -1.009199783279448457e+04 -1.210644551504268293e+03
-1.808985624562286102e+04 -1.009199966221169598e+04 -1.210849481531734455e+03
-1.810463769257676904e+04 -1.008143009848987640e+04 -1.209478108629193230e+03
-1.810094800924887386e+04 -1.009516506514155299e+04 -1.213042741781961922e+03
-1.808551380883548336e+04 -1.011498686510763218e+04 -1.211844025030546618e+03
-1.809174734046340745e+04 -1.009952191865410714e+04 -1.216834382451168494e+03
-1.808707117303647829e+04 -1.010288592290557244e+04 -1.217741772195019621e+03
-1.808993571924315256e+04 -1.010573533109397613e+04 -1.214565521500052910e+03
-1.807356225113700930e+04 -1.011026726198360302e+04 -1.221288243434949436e+03
-1.805073405524918417e+04 -1.010725112390958748e+04 -1.218777525996915301e+03
-1.802672957478577518e+04 -1.010040283182639905e+04 -1.226353721128016787e+03
-1.803405847749411987e+04 -1.009921711750089162e+04 -1.222993565121332267e+03
-1.804366192767230314e+04 -1.008873027923348491e+04 -1.213569638791143007e+03
-1.803167373939239769e+04 -1.009856489913687983e+04 -1.217541869573308759e+03
-1.805029738763056957e+04 -1.011093776400895513e+04 -1.219813451170899043e+03
-1.803364592524907130e+04 -1.010161914616156901e+04 -1.213783015055173109e+03
-1.801418629765162768e+04 -1.011141009073969690e+04 -1.213410958858466074e+03
-1.803864276824861736e+04 -1.010388195614428696e+04 -1.213344026199270957e+03
-1.802565954307544598e+04 -1.009546894140636323e+04 -1.220164740524381614e+03
-1.801190128913189983e+04 -1.010046708636314361e+04 -1.215322634809321698e+03
-1.802644224197915537e+04 -1.010771303824800452e+04 -1.210071463162005784e+03
-1.801234973516782702e+04 -1.010100022381550662e+04 -1.206891867409171027e+03
-1.800690933383171796e+04 -1.010461937285093336e+04 -1.209819126719979977e+03
-1.799962866136971570e+04 -1.009686868136975500e+04 -1.216832160953510993e+03
-1.796645138100277472e+04 -1.009703179710888071e+04 -1.218943614667939528e+03
-1.794459170598962010e+04 -1.009124699051598327e+04 -1.214985147384111769e+03
-1.791881243016638473e+04 -1.009090711226167150e+04 -1.207945842324399564e+03
-1.790377661919992897e+04 -1.009522208358992793e+04 -1.207424347365596077e+03
-1.790058034925667380e+04 -1.009598534075583302e+04 -1.210152736805182940e+03
-1.789267783390068143e+04 -1.009785171419891958e+04 -1.218470859767625825e+03
-1.788693029661070614e+04 -1.009508341307765295e+04 -1.215354698148868465e+03
-1.789281914256058008e+04 -1.009815557698239718e+04 -1.218494811311722515e+03
-1.789563426959179924e+04 -1.009369635622681380e+04 -1.227225795399941489e+03
-1.787328829897550531e+04 -1.010656967466058995e+04 -1.224784477710561987e+03
-1.788541551118289863e+04 -1.011307327226837151e+04 -1.216279570991985111e+03
-1.789789279327103577e+04 -1.010867363587366890e+04 -1.217374453483467278e+03
-1.790637327533232019e+04 -1.011183555042962689e+04 -1.218256656902437953e+03
-1.789484613193966652e+04 -1.011383057606802504e+04 -1.213293417446471267e+03
-1.791684941828039882e+04 -1.009983213473992510e+04 -1.210164638350005134e+03
-1.791147472576515793e+04 -1.010438621626615713e+04 -1.208629945821509864e+03
-1.793802553088163404e+04 -1.009963912870450440e+04 -1.213785632140146845e+03
-1.795493225776745021e+04 -1.009033954861826533e+04 -1.217479117086623774e+03
-1.795543823382632036e+04 -1.009631929534152550e+04 -1.201672740364133915e+03
-1.792862882889225875e+04 -1.009465297671679946e+04 -1.207012415530226917e+03
-1.795061679635210385e+04 -1.009673044929533717e+04 -1.208018959294076012e+03
-1.795727599999948507e+04 -1.010276270049075538e+04 -1.210141212906542478e+03
-1.793763054737585480e+04 -1.011597522994431529e+04 -1.212744436714442600e+03
-1.793027565177539873e+04 -1.011028984276631127e+04 -1.212436317679407694e+03
-1.793598296416880112e+04 -1.010675160649746249e+04 -1.218048291525425157e+03
-1.793827328342191686e+04 -1.011030639573308690e+04 -1.211808081717250388e+03
-1.794063324946095236e+04 -1.010735147350010993e+04 -1.211678849026525313e+03
-1.791553239427155859e+04 -1.011399041554765790e+04 -1.214195428816629828e+03
-1.792962186724766070e+04 -1.010004764064341543e+04 -1.207541738065958270e+03
-1.794581787807236833e+04 -1.010213524480001070e+04 -1.209081436757399388e+03
-1.794918318376138268e+04 -1.010819053016481485e+04 -1.214571039893146462e+03
-1.795217615804967863e+04 -1.010943270700791618e+04 -1.214948018753869292e+03
-1.794811337799060129e+04 -1.009984978634189247e+04 -1.210371407024200380e+03
-1.793709914554434727e+04 -1.010411376133617523e+04 -1.208230407565069982e+03
-1.795367062664437253e+04 -1.011232844948612001e+04 -1.214401187399514129e+03
-1.794101790599183005e+04 -1.010889671232829096e+04 -1.224256836360906618e+03
-1.795558060732403464e+04 -1.012246591194425127e+04 -1.208322385686649341e+03
-1.793407887526919876e+04 -1.012151635145819091e+04 -1.205973061636289913e+03
-1.794314446114462407e+04 -1.010747833775372783e+04 -1.207981351677521161e+03
-1.790315938862210533e+04 -1.011331296657292842e+04 -1.217848640210997019e+03
-1.788587147745015682e+04 -1.011255842413313258e+04 -1.208404715552457219e+03
-1.788586567478642610e+04 -1.011270495446425412e+04 -1.207204172334027589e+03
-1.792005817844562989e+04 -1.010665472371500073e+04 -1.203936712962002275e+03
-1.790302312909099055e+04 -1.010832449099528094e+04 -1.202045949991368161e+03
-1.790271571599492381e+04 -1.010791419160792975e+04 -1.200793029394691530e+03
-1.790281856200040420e+04 -1.010686748885712041e+04 -1.202241106657048931e+03
-1.789480083419499351e+04 -1.010923228565139652e+04 -1.203291767574653022e+03
-1.791630269427700114e+04 -1.010208880260296974e+04 -1.203773729240326247e+03
-1.788597584813036883e+04 -1.011483106034428238e+04 -1.213210639480051213e+03
-1.787548644381422127e+04 -1.010437737795931753e+04 -1.209477687067470924e+03
-1.786266806825895765e+04 -1.010045413744711186e+04 -1.211712330506569288e+03
-1.786973725806059156e+04 -1.010932828719884856e+04 -1.213468579105120170e+03
-1.789264135939358312e+04 -1.011046406669355019e+04 -1.211711308733125406e+03
-1.788079542484640115e+04 -1.010051387778554636e+04 -1.214837874905379977e+03
-1.786890089609921779e+04 -1.010285045614589217e+04 -1.218489819524544146e+03
-1.787837222522014417e+04 -1.009809861392001039e+04 -1.210516453020795325e+03
-1.784591878909649313e+04 -1.011423212669609893e+04 -1.222208471801184260e+03
-1.785982322193748405e+04 -1.011420173412245458e+04 -1.215515612742146914e+03
-1.786889768869622276e+04 -1.011476820546042654e+04 -1.208164022468622989e+03
-1.787431479133119501e+04 -1.010854511545211972e+04 -1.219579705205634127e+03
-1.786412117002307787e+04 -1.009848647432665166e+04 -1.217574403955601156e+03
-1.784599304921464136e+04 -1.010480455151936803e+04 -1.212389333174373405e+03
-1.786518016740505118e+04 -1.010167304511216025e+04 -1.206168921864915319e+03
-1.788736000160357798e+04 -1.010613689656439783e+04 -1.203596225001253060e+03
-1.786370467060733426e+04 -1.010661290200156145e+04 -1.203815349300739399e+03
-1.789150264522584257e+04 -1.010554715806267268e+04 -1.209183841842968832e+03
