time.decay.1	time.decay.2	time.decay.3	time.decay.4	time.decay.5	time.decay.6	time.decay.7	time.decay.8	time.decay.9	time.decay.10	time.decay.11	time.decay.12	
1.052825488431514458e+02 9.425517638309381141e+01 9.916246170065466004e+01 1.031813983737750107e+02 1.061564370235314243e+02 1.082224143594466170e+02 1.074577951624194441e+02 9.563586331244152916e+01 9.907439190884977620e+01 9.659190982448748741e+01 9.009086555755345671e+01 1.006306131885425685e+02
1.022319882070288486e+02 9.962987012798532760e+01 1.068028263847870818e+02 1.100175530562650010e+02 1.104271926672587369e+02 9.627234736017653915e+01 1.085571949108304750e+02 1.031213431691092808e+02 9.203028925866313159e+01 9.296753654945202072e+01 9.915197927216053131e+01 8.924873277774624114e+01
9.548726959124006441e+01 1.065807229625028327e+02 9.594256292049557544e+01 9.196044031725180901e+01 1.076550764327183458e+02 1.014139017260927460e+02 1.066246828398242457e+02 1.102859265773772961e+02 9.856248752362992605e+01 1.139384061523075786e+02 9.419900728538115686e+01 8.288492098828272958e+01
1.178196943653231017e+02 1.277629419295852813e+02 7.911337085580454698e+01 1.096570189199696301e+02 1.017364906584736417e+02 1.122065926772770297e+02 9.472970736737921982e+01 1.097347936139739204e+02 1.032051154819388898e+02 9.931933606199793019e+01 1.035930534362674962e+02 1.213790829764131445e+02
1.018446792778957075e+02 1.205187663391153166e+02 9.533491063854962988e+01 8.727105712896745615e+01 1.039114272990816090e+02 1.038778644038461039e+02 1.032184082816855835e+02 9.481568753904994651e+01 9.888117662929494145e+01 1.055915985359274600e+02 9.502259892122367546e+01 1.125453900967614516e+02
9.716436094927371414e+01 8.802293919609391537e+01 8.847617497850903590e+01 8.794066740021952455e+01 1.078059146995752684e+02 9.719258851208310546e+01 1.003516877617730927e+02 7.685040785957593812e+01 9.983713955321272238e+01 9.318311340783415631e+01 1.077554757026813377e+02 1.102721485221369875e+02
9.892220458723105025e+01 1.191122583762532940e+02 1.112343520419192942e+02 8.691903051653339674e+01 9.058571058460015024e+01 1.002088882817578934e+02 1.110477352763097230e+02 1.088379703435148400e+02 9.828332831632954480e+01 1.167870484270991511e+02 8.610683632441515556e+01 1.084440449691840627e+02
9.569634517094723947e+01 8.224122840590203509e+01 9.058542127615115191e+01 9.339908255509695323e+01 9.647542576488118016e+01 9.174240664975798154e+01 1.196476304539237105e+02 9.529999870644741122e+01 1.098984772167002859e+02 9.396940618502637221e+01 9.957935372290238263e+01 1.205357270260697362e+02
1.054637054701233296e+02 1.070051185547172992e+02 9.105046743100135131e+01 1.044517083745521688e+02 1.030164509256408394e+02 1.012955138662268268e+02 1.259085595111193925e+02 9.553819575127032238e+01 1.178544554302424388e+02 1.074080504195216861e+02 1.038191636439162551e+02 9.264081469321011753e+01
9.821654782842506393e+01 1.148358173405403591e+02 9.119900361525576216e+01 8.115859709410067069e+01 9.292938196281241403e+01 1.341121284691269011e+02 1.233694864977893815e+02 9.193069735498480100e+01 1.042666547653984139e+02 1.064230196159918336e+02 1.027581630309171459e+02 9.187291956364781242e+01
9.837305200851645282e+01 8.706313389369189792e+01 9.713034500904845459e+01 1.137087952376653845e+02 8.623428606995598500e+01 1.064258323291850132e+02 1.005484835011701534e+02 1.022335474791118060e+02 1.109802898215814224e+02 1.115954643287018797e+02 8.950482344897349662e+01 9.058732709338121936e+01
9.269585615668677292e+01 9.569474879446235605e+01 1.011142752504851359e+02 9.526531137210409383e+01 8.457481395651910816e+01 1.044232154432830413e+02 1.058375176203789749e+02 8.646159074249479204e+01 1.094270542855993256e+02 9.477089644833681348e+01 1.162774375443595716e+02 9.603614458996912617e+01
1.008455721101539950e+02 9.672284050987322246e+01 1.024396425018170191e+02 9.999152687049839017e+01 1.192707997554316677e+02 9.941478442730081611e+01 1.034739168932498643e+02 8.985816583391570589e+01 8.765053490237768585e+01 1.002084119635604367e+02 1.136399929682648917e+02 1.191397495966986355e+02
1.052040108156739535e+02 9.313039301765451228e+01 9.780036042583321887e+01 1.047137535000414772e+02 9.972392150972292768e+01 1.038536448529277578e+02 9.437677557849227128e+01 8.405936037383372650e+01 1.261207615840205563e+02 1.087858932405741541e+02 9.416722510799539236e+01 1.104972249643384714e+02
9.644430884547622895e+01 1.241776934956534433e+02 1.009055259123063593e+02 1.045056811066147020e+02 9.802902493984153409e+01 9.845438215341636123e+01 9.350010061924281501e+01 8.008624904259335153e+01 1.177616797942216920e+02 1.104396286644393399e+02 9.624514412259766516e+01 1.119132862908730601e+02
1.040303255419545962e+02 1.107949038033957265e+02 9.933361380393102991e+01 9.392279872845917055e+01 1.022397019359661954e+02 1.036443891823681156e+02 8.722455191810411179e+01 1.247702493200544041e+02 9.818005046634233679e+01 1.054042050978405598e+02 8.199241029703451034e+01 9.611161991595022869e+01
9.734767446208491037e+01 8.482939129342734930e+01 9.081093696661037029e+01 9.938684690995989968e+01 9.060617372011830639e+01 1.046592549099059966e+02 7.921984587853900450e+01 1.195799647472387619e+02 8.689157574178676668e+01 1.093322313285231502e+02 9.151812492946602617e+01 8.468350049306815208e+01
8.145968739399134506e+01 1.032315471337406336e+02 9.095684754856165455e+01 1.068785192269273665e+02 1.007884804388668840e+02 1.045756411772729564e+02 8.708893604788352150e+01 8.035314675347807167e+01 1.147884408061589170e+02 1.066253179935381752e+02 1.092402314486773491e+02 8.788003015736431678e+01
8.795620372253827668e+01 8.728040816534701207e+01 1.096289768890182899e+02 1.183425280600920928e+02 9.477119537618614231e+01 1.089876787080341529e+02 1.114498055742272129e+02 9.853422093843323637e+01 1.110547488100150986e+02 1.095124231347785724e+02 9.394838602946141748e+01 9.077218914476908651e+01
9.601062497926312744e+01 1.082852648011592578e+02 8.335898929992735873e+01 6.353619898274217803e+01 9.522073229893086932e+01 1.070085287113630272e+02 1.129399177851381921e+02 1.084518218637847440e+02 9.577879660181581301e+01 1.189283303583207925e+02 1.057060557515043229e+02 1.132737778146009191e+02
9.361425033977269550e+01 1.086047818527205209e+02 9.789020771502322305e+01 6.854040575367433519e+01 1.094909443128532018e+02 9.238736001522303809e+01 1.043441045314398821e+02 1.062144828635781550e+02 1.048642286380751614e+02 8.012243098649990714e+01 1.091279785552330139e+02 9.366346446039128182e+01
9.234908479049779828e+01 1.180318380021700193e+02 1.051181354681381634e+02 8.844738289132655495e+01 8.553669017986736378e+01 1.006351646465796392e+02 8.889674781707529405e+01 9.022102294952934187e+01 9.364648415648653668e+01 8.753769416675683601e+01 1.036310482444184800e+02 9.104179180095678703e+01
1.004861260360179358e+02 1.109322432297904157e+02 1.299468793961204085e+02 1.146495179957525750e+02 8.847216373584704741e+01 9.952970984910894003e+01 1.210864773474359311e+02 1.030939682324701181e+02 9.648663432312646648e+01 8.695567389791790447e+01 1.066782499221705649e+02 1.011076848403444330e+02
1.089481407327792510e+02 1.072101053356761611e+02 1.288211412464700913e+02 1.128181384674817878e+02 8.555645273946660723e+01 9.399244008981192167e+01 1.146268085332263240e+02 9.937706971065534844e+01 9.176514314662394156e+01 8.759152070054530270e+01 1.069724129260692109e+02 1.109489549105369690e+02
9.614255076145059320e+01 1.089086670607957075e+02 7.580173120407508236e+01 1.134286601095990932e+02 9.494916703793681734e+01 9.061738309557478033e+01 1.151536325325774470e+02 9.267967965718419521e+01 9.612466526283800761e+01 9.391422601978747764e+01 1.029269810186509062e+02 9.957672988547767545e+01
1.010187757627814733e+02 1.000236297991150423e+02 7.966343256642029758e+01 1.022960862860106346e+02 9.812978584622001677e+01 9.209819412387709292e+01 1.102334362641724397e+02 7.643768697657770872e+01 9.026929319028187138e+01 1.001595227165453537e+02 9.448717071591424599e+01 9.915612936846152081e+01
1.042290606604171046e+02 9.966031684713168204e+01 1.028435494020352934e+02 1.051220490011396009e+02 9.744732867524689368e+01 9.226494457521097559e+01 1.032222014898283646e+02 9.209506115574846774e+01 1.086683686662270674e+02 1.007309977966554726e+02 9.837322295918318105e+01 1.115869609274056558e+02
9.977240961532760366e+01 9.537805727539650036e+01 1.067304566747789636e+02 9.971403167929059919e+01 1.102584715128681552e+02 8.930618508074472572e+01 9.543832104804647543e+01 9.723602129987860110e+01 1.000289597770369170e+02 1.005623823153974143e+02 1.073065367070636711e+02 8.808797042672802036e+01
9.955089497566574153e+01 9.292857537256857370e+01 9.433190210152694988e+01 1.088943114569549095e+02 9.967993233805886177e+01 7.648974991509081178e+01 1.133392604640314687e+02 9.592336303509051731e+01 1.010514247114482060e+02 1.004285776389905891e+02 9.321192452362849679e+01 1.123507859334995089e+02
9.479100024531838642e+01 9.045985883346357070e+01 9.435991787874047532e+01 1.032472074589765185e+02 1.013631118290805517e+02 9.053673621320119480e+01 9.624522416669549330e+01 9.853270722762927392e+01 1.025070099359729028e+02 1.027724954765393761e+02 1.038710306560438283e+02 1.105212938741451296e+02
9.843524956140689142e+01 1.042529560910708142e+02 1.058313102236206191e+02 1.044038741169918865e+02 1.053326164723121821e+02 9.507044665299579833e+01 9.383291590048052910e+01 9.412938742270669934e+01 9.736381567700462369e+01 1.073154922540612688e+02 1.073208107352670169e+02 1.007716483034198802e+02
1.083945608751382110e+02 9.727122668836997832e+01 1.018268690514639161e+02 1.003487732045435763e+02 9.855251769003302798e+01 1.222994744163157179e+02 1.042340418564011912e+02 8.951865147400295086e+01 1.031447043913412784e+02 9.008253670911543054e+01 9.606912442763248805e+01 8.877920668549180050e+01
1.146847230319284137e+02 1.143431646532109340e+02 1.167386779490164486e+02 8.653027309587521643e+01 1.088122433474288755e+02 1.234487216764617727e+02 9.554403083449321343e+01 1.031623458759198968e+02 9.932925947798520383e+01 8.318453249132105043e+01 1.155322565158704435e+02 9.074784268334551030e+01
1.114639848135528837e+02 1.165503677996939587e+02 8.968984696886791141e+01 9.362789354385640195e+01 9.536921414195876423e+01 1.287473303619867693e+02 1.032971427798491106e+02 8.910205453874085890e+01 9.285580683525603263e+01 1.031643914694358415e+02 8.218591330497920922e+01 1.249555099166537389e+02
1.070994511554299606e+02 1.092938526297502619e+02 1.168193159578336662e+02 1.136811659195981576e+02 9.934016515481950194e+01 1.211989742759721196e+02 1.015173422433711039e+02 1.021641277746399936e+02 1.122754990103928208e+02 9.652385069524999039e+01 1.024145129282076425e+02 1.328804802612791320e+02
9.100359482473463402e+01 1.071830201444124384e+02 1.151643923699867855e+02 1.013174316034618698e+02 9.742080922089455441e+01 1.172609576518308643e+02 1.130203407201346977e+02 1.011128263949931352e+02 1.071300460250921702e+02 1.004947347638635051e+02 1.113147472244769887e+02 1.352156846214588484e+02
9.029764976219007622e+01 9.605259419325383874e+01 1.078641925504995243e+02 9.023221424729071316e+01 9.819082804857841040e+01 1.142050719202278373e+02 8.673725539460157563e+01 1.041398936637050383e+02 1.091808256855229757e+02 9.601179770298804783e+01 9.506206740690996071e+01 1.106196442448010515e+02
1.100418217209080467e+02 1.053806522569490767e+02 9.685820465142749924e+01 9.237388444598303749e+01 1.017270203786380591e+02 8.440130680052111245e+01 9.459925391587327681e+01 1.080402495244711361e+02 1.093006923703864857e+02 8.779583674602520205e+01 9.273766475694733913e+01 9.646770752642581215e+01
9.596712913297002956e+01 1.049375815733828290e+02 9.870539159046970212e+01 1.077542702768011367e+02 9.984656047752659447e+01 7.550295300458070358e+01 9.081976657446847412e+01 8.353072669685317919e+01 9.963185591969360644e+01 1.053059641676780984e+02 9.253328767561039570e+01 1.089894129925048674e+02
9.493963552416659013e+01 9.817392223790393757e+01 1.008001461068200371e+02 8.634161265363276527e+01 8.880655007525818689e+01 1.216717541107037874e+02 1.095751330081402841e+02 1.205032769621865611e+02 9.742440784812696108e+01 1.035464320970258711e+02 1.017906984244811071e+02 1.072204825255572587e+02
9.257766417319109564e+01 1.175374147575196275e+02 9.255594223282194832e+01 1.037891565618999294e+02 1.137168415654614648e+02 1.163245246694324493e+02 8.689900599566796302e+01 8.631950654869015693e+01 1.055888178910557826e+02 1.000609423632681114e+02 8.819334017818164284e+01 1.035771106324556570e+02
1.085124819687873980e+02 1.207324605870708751e+02 8.772398873114887863e+01 9.471335344859302552e+01 1.112859009270453043e+02 8.610131157519217027e+01 9.443182479334976165e+01 9.345717384689078244e+01 8.877702409650237314e+01 9.674641287949962987e+01 8.795735174134203760e+01 8.886223612648522874e+01
1.099187718470578545e+02 1.239313822438155626e+02 8.268892946333230043e+01 9.518767588222200970e+01 1.061635716677839270e+02 9.137053937329953612e+01 9.263787817506991473e+01 1.058714752503428116e+02 9.233924579983037972e+01 1.055706439055411749e+02 9.937866067280491222e+01 9.558514892356770076e+01
1.101935693467001869e+02 1.119419718018839092e+02 1.001573744808562338e+02 1.072769091487761983e+02 1.082182468250655063e+02 1.018866672997643832e+02 9.298947504450308088e+01 9.746257643464966236e+01 1.041611285021461697e+02 1.068268696075167838e+02 8.354523981679514577e+01 8.898920143566044771e+01
9.081851078158757673e+01 1.010595086582742965e+02 9.966634138270758569e+01 1.048687435830276655e+02 1.087524556353539253e+02 1.068299330188004888e+02 9.252440344103359848e+01 1.057694870215478318e+02 9.400721971427924473e+01 8.831331258853917632e+01 9.400037051819701617e+01 9.174692623132479241e+01
9.027665755670092551e+01 9.636202158306863907e+01 9.648145268688823251e+01 1.116246910503027294e+02 9.539283424655634747e+01 1.068344187581025153e+02 8.994517237303689683e+01 1.040532602609055886e+02 9.772028955472553946e+01 9.251198736676097667e+01 9.393088926087538937e+01 1.033298287317953452e+02
1.161824582897911995e+02 9.466046328830863388e+01 9.090179665720486923e+01 9.223610056247989064e+01 1.064378098504297157e+02 8.695645226802945160e+01 1.073218934481789262e+02 1.193801565148049946e+02 9.695782709668500843e+01 9.000645919761421965e+01 1.027989074641907905e+02 9.140782576847588814e+01
1.105216761276762583e+02 9.984443933349578515e+01 1.082188474965960125e+02 9.064782997122956942e+01 9.183580947133455652e+01 9.670041005489709107e+01 9.427052332551684799e+01 1.127238234693919452e+02 1.029494002016181327e+02 9.447614290639722867e+01 9.412063351926171606e+01 9.425847022871852232e+01
1.129439894322265445e+02 1.034467682451893893e+02 1.074183803589136801e+02 8.520756981257486018e+01 1.034429306519291742e+02 9.680961708760450790e+01 9.833037021012049195e+01 9.771427173262114252e+01 9.702942991026091590e+01 1.015376121545379249e+02 9.319764290243503524e+01 8.654242664319562550e+01
1.012293211943216988e+02 1.014023783159302923e+02 1.096185866552608985e+02 1.043276644063199114e+02 1.091398985730307629e+02 9.000206491776030759e+01 9.982961937772010685e+01 9.609411309632010045e+01 1.028640915156053239e+02 8.378990567132296974e+01 1.064522986569004814e+02 9.195239069695919909e+01
1.019088481722287298e+02 9.531113415906420983e+01 8.615395673826533596e+01 9.989836048784636091e+01 8.844331425724863038e+01 1.060447815689275899e+02 9.552744258942311717e+01 1.071983743856486058e+02 1.071468701698900503e+02 1.129845872504198212e+02 8.584683281346963213e+01 8.690444416982917630e+01
