word.concentration.1	word.concentration.2	word.concentration.3	word.concentration.4	word.concentration.5	word.concentration.6	word.concentration.7	word.concentration.8	word.concentration.9	word.concentration.10	word.concentration.11	word.concentration.12	
9.895925661698674602e+00 9.904900308032406286e+00 9.507327808662342505e+00 8.439605659520008629e+00 9.808436199257606347e+00 9.904472357445195385e+00 7.992513474572117360e+00 9.797783607213226276e+00 9.518376103954818035e+00 8.090197237042310974e+00 9.687007742708122038e+00 9.634825322779573042e+00
9.668065822447763580e+00 9.666798527273554598e+00 8.497747161963328466e+00 7.547997836252187120e+00 9.726135987683511175e+00 9.834234946722808957e+00 8.844949224243206842e+00 9.518534530226890666e+00 9.901643283613962510e+00 7.558929678161262267e+00 9.601692133562092835e+00 9.439791230741871431e+00
9.743351342652273317e+00 9.092741823272097790e+00 8.919213984957252705e+00 9.242548884748144289e+00 9.309241773290274580e+00 9.966329832420409929e+00 9.743163761161893532e+00 9.996220304396072009e+00 9.808270994858689917e+00 8.945461425567168945e+00 9.538775319094273897e+00 7.713762298059784861e+00
9.936470219222510281e+00 9.873086702196131270e+00 9.199531669706184189e+00 8.927178626418932339e+00 9.624680350922863781e+00 9.986203297975549731e+00 8.392938232948031541e+00 9.765988138294826371e+00 9.081296400395832080e+00 9.085916419186514048e+00 8.995438161900093377e+00 5.362866903273777019e+00
9.837000371833600099e+00 9.797524905981873644e+00 9.776695848053252647e+00 9.861042935638730356e+00 9.848376229486946798e+00 9.990344804250435473e+00 9.372424585747467063e+00 9.709731393856088744e+00 9.069052822303966366e+00 8.561996177853057333e+00 9.913914947765546160e+00 8.102556725021909045e+00
9.854336508941084816e+00 9.722400902324906724e+00 9.496415839336204812e+00 9.955907780116735495e+00 9.876861735531859310e+00 9.976413949377912260e+00 9.921949337348282327e+00 9.734079937801151772e+00 9.291774770247130277e+00 9.119809822904390018e+00 9.867404988449965941e+00 8.834096097712768270e+00
9.989886994986678204e+00 9.419929975690354951e+00 9.635303546029657440e+00 9.671575040732461659e+00 9.478221385125973342e+00 9.965700129870194601e+00 8.126031369744252331e+00 9.589524937064153320e+00 9.238985226794817152e+00 9.726013990030143219e+00 9.249719320936678812e+00 8.180378591885512307e+00
9.997244767579704927e+00 9.870007411852849799e+00 9.830024941704595065e+00 9.323330212777875659e+00 9.714929099248521993e+00 9.971111377996280112e+00 8.125139559583134385e+00 9.994610953185620872e+00 9.774446854717403710e+00 8.776671693162082732e+00 9.892892552384074278e+00 9.874620248693982916e+00
9.951002219079047251e+00 9.928298748149391173e+00 9.817056828068619012e+00 8.404734715526830158e+00 9.721928168731054143e+00 9.990225799447323141e+00 8.774530524799329712e+00 9.990080598205551610e+00 9.836769534073017240e+00 8.686811135145529050e+00 9.655756181347141975e+00 9.911839748340149470e+00
9.901402432301225076e+00 9.500181823825451843e+00 9.337536122144008743e+00 9.991091740108201336e+00 9.532462773179977589e+00 9.998891530515731318e+00 7.980979190213605357e+00 9.829337042766196575e+00 9.204904661964002699e+00 9.928233820073447902e+00 9.835309607317116232e+00 8.810730143213387322e+00
