sender	time
1 0.18
3 0.24
2 0.46
1 0.82
2 1.23
1 1.50
5 1.66
3 1.80
5 1.99
1 2.28
5 2.75
1 3.05
5 3.29
1 3.93
11 4.08
3 4.19
1 4.31
3 4.51
1 5.82
3 6.10
11 7.29
2 7.38
4 7.51
8 8.21
4 8.97
8 9.39
4 9.71
10 10.23
1 10.51
10 10.96
2 12.31
4 12.56
2 12.69
6 13.70
3 13.98
7 14.08
4 14.18
3 14.75
1 15.31
3 15.72
1 16.06
3 16.60
4 16.80
8 17.01
9 17.16
4 17.38
9 18.83
1 19.28
9 19.44
1 19.66
6 20.35
4 20.70
5 21.13
1 22.21
5 22.28
2 22.82
1 22.96
2 23.22
6 25.44
3 26.57
12 26.97
3 27.03
4 27.10
12 27.20
2 27.21
7 27.38
4 27.62
1 27.89
3 28.06
4 28.16
3 28.44
4 28.52
3 28.70
4 28.86
3 29.12
4 29.27
3 29.38
4 29.46
8 29.53
4 29.67
8 29.74
5 29.98
3 30.14
1 30.31
4 30.41
1 30.62
3 31.92
1 32.26
9 32.46
1 32.74
8 33.79
1 33.98
8 34.05
1 34.12
8 34.43
2 34.89
10 35.11
2 35.36
1 35.74
6 36.40
1 37.02
6 37.23
2 37.41
6 38.03
1 41.44
6 42.15
1 42.25
10 42.73
1 43.25
6 43.38
1 43.48
2 43.65
7 44.18
5 44.24
4 44.64
10 44.79
2 44.91
10 44.99
2 45.07
3 45.17
5 45.25
11 45.90
5 46.01
10 46.42
3 46.58
7 47.16
3 47.27
4 47.61
1 49.22
2 49.41
4 49.58
5 51.04
4 52.29
3 52.54
5 52.65
7 52.87
2 53.11
12 54.13
6 54.53
2 54.65
5 54.93
11 55.00
5 55.14
11 55.42
3 55.48
9 55.56
11 55.77
1 56.74
4 57.17
8 57.61
7 58.85
8 58.99
2 60.40
5 61.99
1 62.08
5 62.14
1 63.64
9 65.98
1 67.21
9 67.57
1 67.80
9 67.88
4 69.21
10 69.29
4 69.40
2 69.78
1 70.26
2 70.35
1 70.60
4 70.67
8 70.74
5 71.05
6 71.27
1 72.14
1 72.45
2 72.85
1 73.14
6 73.41
1 73.61
7 73.73
3 73.73
1 73.81
9 74.75
1 74.88
9 74.99
1 75.10
2 75.35
1 75.61
2 78.13
1 78.13
2 78.23
1 78.33
2 78.49
1 78.77
12 78.86
9 78.96
2 79.04
12 79.13
2 79.21
11 79.31
2 79.39
9 79.66
11 81.00
5 83.92
11 83.92
5 84.05
11 84.16
3 84.51
10 85.20
8 85.35
1 85.46
3 85.74
1 85.86
2 86.41
10 86.79
2 87.19
1 87.41
3 87.77
7 87.99
12 88.16
4 88.53
5 88.81
1 90.03
5 90.11
1 90.25
5 90.92
7 91.35
3 91.46
7 91.86
3 92.23
7 92.33
2 93.60
5 93.83
6 93.93
7 94.39
6 94.51
7 94.87
2 95.36
7 95.51
8 95.72
7 96.42
6 97.35
2 97.81
1 97.93
3 98.60
12 99.24
4 99.42
3 99.50
1 99.90
